emp_no:integer,first_name:keyword,last_name:keyword,birth_date:date,gender:keyword,hire_date:date,languages:integer,languages.long:long,height:double,height.float:double,height.scaled_float:double,height.half_float:double,salary:integer,still_hired:boolean,avg_worked_seconds:long
10001,Georgi,Facello,1953-09-02T00:00:00.000Z,M,1986-06-26T00:00:00.000Z,2,2,2.03,2.03,2.03,2.03,57305,true,268728049
10002,Bezalel,Simmel,1964-06-02T00:00:00.000Z,F,1985-11-21T00:00:00.000Z,5,5,2.08,2.08,2.08,2.08,56371,true,328922887
10003,Parto,Bamford,1959-12-03T00:00:00.000Z,M,1986-08-28T00:00:00.000Z,4,4,1.83,1.83,1.83,1.83,61805,false,200296405
10004,Chirstian,Koblick,1954-05-01T00:00:00.000Z,M,1986-12-01T00:00:00.000Z,5,5,1.78,1.78,1.78,1.78,36174,true,311267831
10005,Kyoichi,Maliniak,1955-01-21T00:00:00.000Z,M,1989-09-12T00:00:00.000Z,1,1,2.05,2.05,2.05,2.05,63528,true,244294991
10006,Anneke,Preusig,1953-04-20T00:00:00.000Z,F,1989-06-02T00:00:00.000Z,3,3,1.56,1.56,1.56,1.56,60335,false,372957040
10007,Tzvetan,Zielinski,1957-05-23T00:00:00.000Z,F,1989-02-10T00:00:00.000Z,4,4,1.70,1.70,1.70,1.70,74572,true,393084805
10008,Saniya,Kalloufi,1958-02-19T00:00:00.000Z,M,1994-09-15T00:00:00.000Z,2,2,2.10,2.10,2.10,2.10,43906,true,283074758
10009,Sumant,Peac,1952-04-19T00:00:00.000Z,F,1985-02-18T00:00:00.000Z,1,1,1.85,1.85,1.85,1.85,66174,false,236805489
10010,Duangkaew,Piveteau,1963-06-01T00:00:00.000Z,,1989-08-24T00:00:00.000Z,4,4,1.70,1.70,1.70,1.70,45797,false,315236372
10011,Mary,Sluis,1953-11-07T00:00:00.000Z,,1990-01-22T00:00:00.000Z,5,5,1.50,1.50,1.50,1.50,31120,true,239615525
10012,Patricio,Bridgland,1960-10-04T00:00:00.000Z,,1992-12-18T00:00:00.000Z,5,5,1.97,1.97,1.97,1.97,48942,false,365510850
10013,Eberhardt,Terkki,1963-06-07T00:00:00.000Z,,1985-10-20T00:00:00.000Z,1,1,1.94,1.94,1.94,1.94,48735,true,253864340
10014,Berni,Genin,1956-02-12T00:00:00.000Z,,1987-03-11T00:00:00.000Z,5,5,1.99,1.99,1.99,1.99,37137,false,225049139
10015,Guoxiang,Nooteboom,1959-08-19T00:00:00.000Z,,1987-07-02T00:00:00.000Z,5,5,1.66,1.66,1.66,1.66,25324,true,390266432
10016,Kazuhito,Cappelletti,1961-05-02T00:00:00.000Z,,1995-01-27T00:00:00.000Z,2,2,1.54,1.54,1.54,1.54,61358,false,253029411
10017,Cristinel,Bouloucos,1958-07-06T00:00:00.000Z,,1993-08-03T00:00:00.000Z,2,2,1.74,1.74,1.74,1.74,58715,false,236703986
10018,Kazuhide,Peha,1954-06-19T00:00:00.000Z,,1987-04-03T00:00:00.000Z,2,2,1.97,1.97,1.97,1.97,56760,false,309604079
10019,Lillian,Haddadi,1953-01-23T00:00:00.000Z,,1999-04-30T00:00:00.000Z,1,1,2.06,2.06,2.06,2.06,73717,false,342855721
10020,Mayuko,Warwick,1952-12-24T00:00:00.000Z,M,1991-01-26T00:00:00.000Z,,,1.41,1.41,1.41,1.41,40031,false,373309605
10021,Ramzi,Erde,1960-02-20T00:00:00.000Z,M,1988-02-10T00:00:00.000Z,,,1.47,1.47,1.47,1.47,60408,false,287654610
10022,Shahaf,Famili,1952-07-08T00:00:00.000Z,M,1995-08-22T00:00:00.000Z,,,1.82,1.82,1.82,1.82,48233,false,233521306
10023,Bojan,Montemayor,1953-09-29T00:00:00.000Z,F,1989-12-17T00:00:00.000Z,,,1.75,1.75,1.75,1.75,47896,true,330870342
10024,Suzette,Pettey,1958-09-05T00:00:00.000Z,F,1997-05-19T00:00:00.000Z,,,2.08,2.08,2.08,2.08,64675,true,367717671
10025,Prasadram,Heyers,1958-10-31T00:00:00.000Z,M,1987-08-17T00:00:00.000Z,,,1.87,1.87,1.87,1.87,47411,false,371270797
10026,Yongqiao,Berztiss,1953-04-03T00:00:00.000Z,M,1995-03-20T00:00:00.000Z,,,2.10,2.10,2.10,2.10,28336,true,359208133
10027,Divier,Reistad,1962-07-10T00:00:00.000Z,F,1989-07-07T00:00:00.000Z,,,1.53,1.53,1.53,1.53,73851,false,374037782
10028,Domenick,Tempesti,1963-11-26T00:00:00.000Z,M,1991-10-22T00:00:00.000Z,,,2.07,2.07,2.07,2.07,39356,true,226435054
10029,Otmar,Herbst,1956-12-13T00:00:00.000Z,M,1985-11-20T00:00:00.000Z,,,1.99,1.99,1.99,1.99,74999,false,257694181
10030,,Demeyer,1958-07-14T00:00:00.000Z,M,1994-02-17T00:00:00.000Z,3,3,1.92,1.92,1.92,1.92,67492,false,394597613
10031,,Joslin,1959-01-27T00:00:00.000Z,M,1991-09-01T00:00:00.000Z,4,4,1.68,1.68,1.68,1.68,37716,false,348545109
10032,,Reistad,1960-08-09T00:00:00.000Z,F,1990-06-20T00:00:00.000Z,3,3,2.10,2.10,2.10,2.10,62233,false,277622619
10033,,Merlo,1956-11-14T00:00:00.000Z,M,1987-03-18T00:00:00.000Z,1,1,1.63,1.63,1.63,1.63,70011,false,208374744
10034,,Swan,1962-12-29T00:00:00.000Z,M,1988-09-21T00:00:00.000Z,1,1,1.46,1.46,1.46,1.46,39878,false,214393176
10035,,Chappelet,1953-02-08T00:00:00.000Z,M,1988-09-05T00:00:00.000Z,5,5,1.81,1.81,1.81,1.81,25945,false,203838153
10036,,Portugali,1959-08-10T00:00:00.000Z,M,1992-01-03T00:00:00.000Z,4,4,1.61,1.61,1.61,1.61,60781,false,305493131
10037,,Makrucki,1963-07-22T00:00:00.000Z,M,1990-12-05T00:00:00.000Z,2,2,2.00,2.00,2.00,2.00,37691,true,359217000
10038,,Lortz,1960-07-20T00:00:00.000Z,M,1989-09-20T00:00:00.000Z,4,4,1.53,1.53,1.53,1.53,35222,true,314036411
10039,,Brender,1959-10-01T00:00:00.000Z,M,1988-01-19T00:00:00.000Z,2,2,1.55,1.55,1.55,1.55,36051,false,243221262
10040,Weiyi,Meriste,,F,1993-02-14T00:00:00.000Z,4,4,1.90,1.90,1.90,1.90,37112,false,244478622
10041,Uri,Lenart,,F,1989-11-12T00:00:00.000Z,1,1,1.75,1.75,1.75,1.75,56415,false,287789442
10042,Magy,Stamatiou,,F,1993-03-21T00:00:00.000Z,3,3,1.44,1.44,1.44,1.44,30404,true,246355863
10043,Yishay,Tzvieli,,M,1990-10-20T00:00:00.000Z,1,1,1.52,1.52,1.52,1.52,34341,true,287222180
10044,Mingsen,Casley,,F,1994-05-21T00:00:00.000Z,1,1,2.06,2.06,2.06,2.06,39728,false,387408356
10045,Moss,Shanbhogue,,M,1989-09-02T00:00:00.000Z,3,3,1.70,1.70,1.70,1.70,74970,false,371418933
10046,Lucien,Rosenbaum,,M,1992-06-20T00:00:00.000Z,4,4,1.52,1.52,1.52,1.52,50064,true,302353405
10047,Zvonko,Nyanchama,,M,1989-03-31T00:00:00.000Z,4,4,1.52,1.52,1.52,1.52,42716,true,306369346
10048,Florian,Syrotiuk,,M,1985-02-24T00:00:00.000Z,3,3,2.00,2.00,2.00,2.00,26436,false,248451647
10049,Basil,Tramer,,F,1992-05-04T00:00:00.000Z,5,5,1.52,1.52,1.52,1.52,37853,true,320725709
10050,Yinghua,Dredge,1958-05-21T00:00:00.000Z,M,1990-12-25T00:00:00.000Z,2,2,1.96,1.96,1.96,1.96,43026,true,242731798
10051,Hidefumi,Caine,1953-07-28T00:00:00.000Z,M,1992-10-15T00:00:00.000Z,3,3,1.89,1.89,1.89,1.89,58121,true,374753122
10052,Heping,Nitsch,1961-02-26T00:00:00.000Z,M,1988-05-21T00:00:00.000Z,1,1,1.79,1.79,1.79,1.79,55360,true,299654717
10053,Sanjiv,Zschoche,1954-09-13T00:00:00.000Z,F,1986-02-04T00:00:00.000Z,3,3,1.58,1.58,1.58,1.58,54462,false,368103911
10054,Mayumi,Schueller,1957-04-04T00:00:00.000Z,M,1995-03-13T00:00:00.000Z,4,4,1.82,1.82,1.82,1.82,65367,false,297441693
10055,Georgy,Dredge,1956-06-06T00:00:00.000Z,M,1992-04-27T00:00:00.000Z,5,5,2.04,2.04,2.04,2.04,49281,false,283157844
10056,Brendon,Bernini,1961-09-01T00:00:00.000Z,F,1990-02-01T00:00:00.000Z,2,2,1.57,1.57,1.57,1.57,33370,true,349086555
10057,Ebbe,Callaway,1954-05-30T00:00:00.000Z,F,1992-01-15T00:00:00.000Z,4,4,1.59,1.59,1.59,1.59,27215,true,324356269
10058,Berhard,McFarlin,1954-10-01T00:00:00.000Z,M,1987-04-13T00:00:00.000Z,3,3,1.83,1.83,1.83,1.83,38376,false,268378108
10059,Alejandro,McAlpine,1953-09-19T00:00:00.000Z,F,1991-06-26T00:00:00.000Z,2,2,1.48,1.48,1.48,1.48,44307,false,237368465
10060,Breannda,Billingsley,1961-10-15T00:00:00.000Z,M,1987-11-02T00:00:00.000Z,2,2,1.42,1.42,1.42,1.42,29175,true,341158890
10061,Tse,Herber,1962-10-19T00:00:00.000Z,M,1985-09-17T00:00:00.000Z,1,1,1.45,1.45,1.45,1.45,49095,false,327550310
10062,Anoosh,Peyn,1961-11-02T00:00:00.000Z,M,1991-08-30T00:00:00.000Z,3,3,1.70,1.70,1.70,1.70,65030,false,203989706
10063,Gino,Leonhardt,1952-08-06T00:00:00.000Z,F,1989-04-08T00:00:00.000Z,3,3,1.78,1.78,1.78,1.78,52121,true,214068302
10064,Udi,Jansch,1959-04-07T00:00:00.000Z,M,1985-11-20T00:00:00.000Z,5,5,1.93,1.93,1.93,1.93,33956,false,307364077
10065,Satosi,Awdeh,1963-04-14T00:00:00.000Z,M,1988-05-18T00:00:00.000Z,2,2,1.59,1.59,1.59,1.59,50249,false,372660279
10066,Kwee,Schusler,1952-11-13T00:00:00.000Z,M,1986-02-26T00:00:00.000Z,5,5,2.10,2.10,2.10,2.10,31897,true,360906451
10067,Claudi,Stavenow,1953-01-07T00:00:00.000Z,M,1987-03-04T00:00:00.000Z,2,2,1.77,1.77,1.77,1.77,52044,true,347664141
10068,Charlene,Brattka,1962-11-26T00:00:00.000Z,M,1987-08-07T00:00:00.000Z,3,3,1.58,1.58,1.58,1.58,28941,true,233999584
10069,Margareta,Bierman,1960-09-06T00:00:00.000Z,F,1989-11-05T00:00:00.000Z,5,5,1.77,1.77,1.77,1.77,41933,true,366512352
10070,Reuven,Garigliano,1955-08-20T00:00:00.000Z,M,1985-10-14T00:00:00.000Z,3,3,1.77,1.77,1.77,1.77,54329,true,347188604
10071,Hisao,Lipner,1958-01-21T00:00:00.000Z,M,1987-10-01T00:00:00.000Z,2,2,2.07,2.07,2.07,2.07,40612,false,306671693
10072,Hironoby,Sidou,1952-05-15T00:00:00.000Z,F,1988-07-21T00:00:00.000Z,5,5,1.82,1.82,1.82,1.82,54518,true,209506065
10073,Shir,McClurg,1954-02-23T00:00:00.000Z,M,1991-12-01T00:00:00.000Z,4,4,1.66,1.66,1.66,1.66,32568,false,314930367
10074,Mokhtar,Bernatsky,1955-08-28T00:00:00.000Z,F,1990-08-13T00:00:00.000Z,5,5,1.64,1.64,1.64,1.64,38992,true,382397583
10075,Gao,Dolinsky,1960-03-09T00:00:00.000Z,F,1987-03-19T00:00:00.000Z,5,5,1.94,1.94,1.94,1.94,51956,false,370238919
10076,Erez,Ritzmann,1952-06-13T00:00:00.000Z,F,1985-07-09T00:00:00.000Z,3,3,1.83,1.83,1.83,1.83,62405,false,376240317
10077,Mona,Azuma,1964-04-18T00:00:00.000Z,M,1990-03-02T00:00:00.000Z,5,5,1.68,1.68,1.68,1.68,46595,false,351960222
10078,Danel,Mondadori,1959-12-25T00:00:00.000Z,F,1987-05-26T00:00:00.000Z,2,2,1.81,1.81,1.81,1.81,69904,true,377116038
10079,Kshitij,Gils,1961-10-05T00:00:00.000Z,F,1986-03-27T00:00:00.000Z,2,2,1.59,1.59,1.59,1.59,32263,false,320953330
10080,Premal,Baek,1957-12-03T00:00:00.000Z,M,1985-11-19T00:00:00.000Z,5,5,1.80,1.80,1.80,1.80,52833,false,239266137
10081,Zhongwei,Rosen,1960-12-17T00:00:00.000Z,M,1986-10-30T00:00:00.000Z,2,2,1.44,1.44,1.44,1.44,50128,true,321375511
10082,Parviz,Lortz,1963-09-09T00:00:00.000Z,M,1990-01-03T00:00:00.000Z,4,4,1.61,1.61,1.61,1.61,49818,false,232522994
10083,Vishv,Zockler,1959-07-23T00:00:00.000Z,M,1987-03-31T00:00:00.000Z,1,1,1.42,1.42,1.42,1.42,39110,false,331236443
10084,Tuval,Kalloufi,1960-05-25T00:00:00.000Z,M,1995-12-15T00:00:00.000Z,1,1,1.51,1.51,1.51,1.51,28035,true,359067056
10085,Kenroku,Malabarba,1962-11-07T00:00:00.000Z,M,1994-04-09T00:00:00.000Z,5,5,2.01,2.01,2.01,2.01,35742,true,353404008
10086,Somnath,Foote,1962-11-19T00:00:00.000Z,M,1990-02-16T00:00:00.000Z,1,1,1.74,1.74,1.74,1.74,68547,true,328580163
10087,Xinglin,Eugenio,1959-07-23T00:00:00.000Z,F,1986-09-08T00:00:00.000Z,5,5,1.74,1.74,1.74,1.74,32272,true,305782871
10088,Jungsoon,Syrzycki,1954-02-25T00:00:00.000Z,F,1988-09-02T00:00:00.000Z,5,5,1.91,1.91,1.91,1.91,39638,false,330714423
10089,Sudharsan,Flasterstein,1963-03-21T00:00:00.000Z,F,1986-08-12T00:00:00.000Z,4,4,1.57,1.57,1.57,1.57,43602,true,232951673
10090,Kendra,Hofting,1961-05-30T00:00:00.000Z,M,1986-03-14T00:00:00.000Z,2,2,2.03,2.03,2.03,2.03,44956,true,212460105
10091,Amabile,Gomatam,1955-10-04T00:00:00.000Z,M,1992-11-18T00:00:00.000Z,3,3,2.09,2.09,2.09,2.09,38645,true,242582807
10092,Valdiodio,Niizuma,1964-10-18T00:00:00.000Z,F,1989-09-22T00:00:00.000Z,1,1,1.75,1.75,1.75,1.75,25976,false,313407352
10093,Sailaja,Desikan,1964-06-11T00:00:00.000Z,M,1996-11-05T00:00:00.000Z,3,3,1.69,1.69,1.69,1.69,45656,false,315904921
10094,Arumugam,Ossenbruggen,1957-05-25T00:00:00.000Z,F,1987-04-18T00:00:00.000Z,5,5,2.10,2.10,2.10,2.10,66817,false,332920135
10095,Hilari,Morton,1965-01-03T00:00:00.000Z,M,1986-07-15T00:00:00.000Z,4,4,1.55,1.55,1.55,1.55,37702,false,321850475
10096,Jayson,Mandell,1954-09-16T00:00:00.000Z,M,1990-01-14T00:00:00.000Z,4,4,1.94,1.94,1.94,1.94,43889,false,204381503
