birth_date:date     ,emp_no:integer,first_name:keyword,gender:keyword,hire_date:date,languages:integer,languages.long:long,languages.short:short,languages.byte:byte,last_name:keyword,salary:integer,height:double,height.float:float,height.scaled_float:scaled_float,height.half_float:half_float,still_hired:boolean,avg_worked_seconds:long,job_positions:keyword,is_rehired:boolean,salary_change:double,salary_change.int:integer,salary_change.long:long,salary_change.keyword:keyword
1953-09-02T00:00:00Z,10001,Georgi     ,M,1986-06-26T00:00:00Z,2,2,2,2,Facello     ,57305,2.03,2.03,2.03,2.03,true ,268728049,Senior Python Developer,false,1.19,1,1,1.19
1964-06-02T00:00:00Z,10002,Bezalel    ,F,1985-11-21T00:00:00Z,5,5,5,5,Simmel      ,56371,2.08,2.08,2.08,2.08,true ,328922887,Senior Team Lead,false,-7.23,-7,-7,-7.23
1959-12-03T00:00:00Z,10003,Parto      ,M,1986-08-28T00:00:00Z,4,4,4,4,Bamford     ,61805,1.83,1.83,1.83,1.83,false,200296405,,,14.68,14,14,14.68
1954-05-01T00:00:00Z,10004,Chirstian  ,M,1986-12-01T00:00:00Z,5,5,5,5,Koblick     ,36174,1.78,1.78,1.78,1.78,true ,311267831,Reporting Analyst,true,3.65,3,3,3.65
1955-01-21T00:00:00Z,10005,Kyoichi    ,M,1989-09-12T00:00:00Z,1,1,1,1,Maliniak    ,63528,2.05,2.05,2.05,2.05,true ,244294991,,false,-2.14,-2,-2,-2.14
1953-04-20T00:00:00Z,10006,Anneke     ,F,1989-06-02T00:00:00Z,3,3,3,3,Preusig     ,60335,1.56,1.56,1.56,1.56,false,372957040,Tech Lead,,-3.90,-3,-3,-3.90
1957-05-23T00:00:00Z,10007,Tzvetan    ,F,1989-02-10T00:00:00Z,4,4,4,4,Zielinski   ,74572,1.70,1.70,1.70,1.70,true ,393084805,,true,-7.06,-7,-7,-7.06
1958-02-19T00:00:00Z,10008,Saniya     ,M,1994-09-15T00:00:00Z,2,2,2,2,Kalloufi    ,43906,2.10,2.10,2.10,2.10,true ,283074758,Senior Python Developer,true,12.68,12,12,12.68
1952-04-19T00:00:00Z,10009,Sumant     ,F,1985-02-18T00:00:00Z,1,1,1,1,Peac        ,66174,1.85,1.85,1.85,1.85,false,236805489,Senior Python Developer,,,,,
1963-06-01T00:00:00Z,10010,Duangkaew  , ,1989-08-24T00:00:00Z,4,4,4,4,Piveteau    ,45797,1.70,1.70,1.70,1.70,false,315236372,Architect,true,5.05,5,5,5.05
1953-11-07T00:00:00Z,10011,Mary       , ,1990-01-22T00:00:00Z,5,5,5,5,Sluis       ,31120,1.50,1.50,1.50,1.50,true ,239615525,Architect,true,10.35,10,10,10.35
1960-10-04T00:00:00Z,10012,Patricio   , ,1992-12-18T00:00:00Z,5,5,5,5,Bridgland   ,48942,1.97,1.97,1.97,1.97,false,365510850,Head Human Resources,false,0.04,0,0,0.04
1963-06-07T00:00:00Z,10013,Eberhardt  , ,1985-10-20T00:00:00Z,1,1,1,1,Terkki      ,48735,1.94,1.94,1.94,1.94,true ,253864340,Reporting Analyst,true,,,,
1956-02-12T00:00:00Z,10014,Berni      , ,1987-03-11T00:00:00Z,5,5,5,5,Genin       ,37137,1.99,1.99,1.99,1.99,false,225049139,Reporting Analyst,,-1.89,-1,-1,-1.89
1959-08-19T00:00:00Z,10015,Guoxiang   , ,1987-07-02T00:00:00Z,5,5,5,5,Nooteboom   ,25324,1.66,1.66,1.66,1.66,true ,390266432,Principal Support Engineer,true,14.25,14,14,14.25
1961-05-02T00:00:00Z,10016,Kazuhito   , ,1995-01-27T00:00:00Z,2,2,2,2,Cappelletti ,61358,1.54,1.54,1.54,1.54,false,253029411,Reporting Analyst,false,-5.18,-5,-5,-5.18
1958-07-06T00:00:00Z,10017,Cristinel  , ,1993-08-03T00:00:00Z,2,2,2,2,Bouloucos   ,58715,1.74,1.74,1.74,1.74,false,236703986,Data Scientist,true,-6.33,-6,-6,-6.33
1954-06-19T00:00:00Z,10018,Kazuhide   , ,1987-04-03T00:00:00Z,2,2,2,2,Peha        ,56760,1.97,1.97,1.97,1.97,false,309604079,Junior Developer,false,-1.64,-1,-1,-1.64
1953-01-23T00:00:00Z,10019,Lillian    , ,1999-04-30T00:00:00Z,1,1,1,1,Haddadi     ,73717,2.06,2.06,2.06,2.06,false,342855721,Purchase Manager,false,-6.84,-6,-6,-6.84
1952-12-24T00:00:00Z,10020,Mayuko     ,M,1991-01-26T00:00:00Z, , , , ,Warwick     ,40031,1.41,1.41,1.41,1.41,false,373309605,Tech Lead,true,-5.81,-5,-5,-5.81
1960-02-20T00:00:00Z,10021,Ramzi      ,M,1988-02-10T00:00:00Z, , , , ,Erde        ,60408,1.47,1.47,1.47,1.47,false,287654610,Support Engineer,true,,,,
1952-07-08T00:00:00Z,10022,Shahaf     ,M,1995-08-22T00:00:00Z, , , , ,Famili      ,48233,1.82,1.82,1.82,1.82,false,233521306,Reporting Analyst,true,12.09,12,12,12.09
1953-09-29T00:00:00Z,10023,Bojan      ,F,1989-12-17T00:00:00Z, , , , ,Montemayor  ,47896,1.75,1.75,1.75,1.75,true ,330870342,Accountant,true,14.63,14,14,14.63
1958-09-05T00:00:00Z,10024,Suzette    ,F,1997-05-19T00:00:00Z, , , , ,Pettey      ,64675,2.08,2.08,2.08,2.08,true ,367717671,Junior Developer,true,,,,
1958-10-31T00:00:00Z,10025,Prasadram  ,M,1987-08-17T00:00:00Z, , , , ,Heyers      ,47411,1.87,1.87,1.87,1.87,false,371270797,Accountant,true,-4.33,-4,-4,-4.33
1953-04-03T00:00:00Z,10026,Yongqiao   ,M,1995-03-20T00:00:00Z, , , , ,Berztiss    ,28336,2.10,2.10,2.10,2.10,true ,359208133,Reporting Analyst,false,-7.37,-7,-7,-7.37
1962-07-10T00:00:00Z,10027,Divier     ,F,1989-07-07T00:00:00Z, , , , ,Reistad     ,73851,1.53,1.53,1.53,1.53,false,374037782,Senior Python Developer,false,,,,
1963-11-26T00:00:00Z,10028,Domenick   ,M,1991-10-22T00:00:00Z, , , , ,Tempesti    ,39356,2.07,2.07,2.07,2.07,true ,226435054,Tech Lead,true,,,,
1956-12-13T00:00:00Z,10029,Otmar      ,M,1985-11-20T00:00:00Z, , , , ,Herbst      ,74999,1.99,1.99,1.99,1.99,false,257694181,Senior Python Developer,true,-0.32,0,0,-0.32
1958-07-14T00:00:00Z,10030,           ,M,1994-02-17T00:00:00Z,3,3,3,3,Demeyer     ,67492,1.92,1.92,1.92,1.92,false,394597613,Tech Lead,true,-0.40,0,0,-0.40
1959-01-27T00:00:00Z,10031,           ,M,1991-09-01T00:00:00Z,4,4,4,4,Joslin      ,37716,1.68,1.68,1.68,1.68,false,348545109,Architect,false,,,,
1960-08-09T00:00:00Z,10032,           ,F,1990-06-20T00:00:00Z,3,3,3,3,Reistad     ,62233,2.10,2.10,2.10,2.10,false,277622619,Architect,false,9.32,9,9,9.32
1956-11-14T00:00:00Z,10033,           ,M,1987-03-18T00:00:00Z,1,1,1,1,Merlo       ,70011,1.63,1.63,1.63,1.63,false,208374744,,true,,,,
1962-12-29T00:00:00Z,10034,           ,M,1988-09-21T00:00:00Z,1,1,1,1,Swan        ,39878,1.46,1.46,1.46,1.46,false,214393176,Business Analyst,false,-8.46,-8,-8,-8.46
1953-02-08T00:00:00Z,10035,           ,M,1988-09-05T00:00:00Z,5,5,5,5,Chappelet   ,25945,1.81,1.81,1.81,1.81,false,203838153,Senior Python Developer,false,-2.54,-2,-2,-2.54
1959-08-10T00:00:00Z,10036,           ,M,1992-01-03T00:00:00Z,4,4,4,4,Portugali   ,60781,1.61,1.61,1.61,1.61,false,305493131,Senior Python Developer,true,,,,
1963-07-22T00:00:00Z,10037,           ,M,1990-12-05T00:00:00Z,2,2,2,2,Makrucki    ,37691,2.00,2.00,2.00,2.00,true ,359217000,Senior Python Developer,false,-7.08,-7,-7,-7.08
1960-07-20T00:00:00Z,10038,           ,M,1989-09-20T00:00:00Z,4,4,4,4,Lortz       ,35222,1.53,1.53,1.53,1.53,true ,314036411,Senior Python Developer,,,,,
1959-10-01T00:00:00Z,10039,           ,M,1988-01-19T00:00:00Z,2,2,2,2,Brender     ,36051,1.55,1.55,1.55,1.55,false,243221262,Business Analyst,true,-6.90,-6,-6,-6.90
                    ,10040,Weiyi      ,F,1993-02-14T00:00:00Z,4,4,4,4,Meriste     ,37112,1.90,1.90,1.90,1.90,false,244478622,Principal Support Engineer,true,6.97,6,6,6.97
                    ,10041,Uri        ,F,1989-11-12T00:00:00Z,1,1,1,1,Lenart      ,56415,1.75,1.75,1.75,1.75,false,287789442,Data Scientist,,9.21,9,9,9.21
                    ,10042,Magy       ,F,1993-03-21T00:00:00Z,3,3,3,3,Stamatiou   ,30404,1.44,1.44,1.44,1.44,true ,246355863,Architect,,-9.28,-9,-9,-9.28
                    ,10043,Yishay     ,M,1990-10-20T00:00:00Z,1,1,1,1,Tzvieli     ,34341,1.52,1.52,1.52,1.52,true ,287222180,Data Scientist,false,-5.17,-5,-5,-5.17
                    ,10044,Mingsen    ,F,1994-05-21T00:00:00Z,1,1,1,1,Casley      ,39728,2.06,2.06,2.06,2.06,false,387408356,Tech Lead,true,8.09,8,8,8.09
                    ,10045,Moss       ,M,1989-09-02T00:00:00Z,3,3,3,3,Shanbhogue  ,74970,1.70,1.70,1.70,1.70,false,371418933,Principal Support Engineer,true,,,,
                    ,10046,Lucien     ,M,1992-06-20T00:00:00Z,4,4,4,4,Rosenbaum   ,50064,1.52,1.52,1.52,1.52,true ,302353405,Principal Support Engineer,true,2.39,2,2,2.39
                    ,10047,Zvonko     ,M,1989-03-31T00:00:00Z,4,4,4,4,Nyanchama   ,42716,1.52,1.52,1.52,1.52,true ,306369346,Architect,true,-6.36,-6,-6,-6.36
                    ,10048,Florian    ,M,1985-02-24T00:00:00Z,3,3,3,3,Syrotiuk    ,26436,2.00,2.00,2.00,2.00,false,248451647,Internship,true,,,,
                    ,10049,Basil      ,F,1992-05-04T00:00:00Z,5,5,5,5,Tramer      ,37853,1.52,1.52,1.52,1.52,true ,320725709,Senior Python Developer,,-1.05,-1,-1,-1.05
1958-05-21T00:00:00Z,10050,Yinghua    ,M,1990-12-25T00:00:00Z,2,2,2,2,Dredge      ,43026,1.96,1.96,1.96,1.96,true ,242731798,Reporting Analyst,true,8.70,8,8,8.70
1953-07-28T00:00:00Z,10051,Hidefumi   ,M,1992-10-15T00:00:00Z,3,3,3,3,Caine       ,58121,1.89,1.89,1.89,1.89,true ,374753122,Business Analyst,,,,,
1961-02-26T00:00:00Z,10052,Heping     ,M,1988-05-21T00:00:00Z,1,1,1,1,Nitsch      ,55360,1.79,1.79,1.79,1.79,true ,299654717,,true,-0.55,0,0,-0.55
1954-09-13T00:00:00Z,10053,Sanjiv     ,F,1986-02-04T00:00:00Z,3,3,3,3,Zschoche    ,54462,1.58,1.58,1.58,1.58,false,368103911,Support Engineer,true,-7.67,-7,-7,-7.67
