birth_date:date     ,emp_no:integer,first_name:keyword,gender:keyword,hire_date:date,languages:integer,languages.long:long,languages.short:short,languages.byte:byte,last_name:keyword,salary:integer,height:double,height.float:float,height.scaled_float:scaled_float,height.half_float:half_float,still_hired:boolean,avg_worked_seconds:long,job_positions:keyword
1953-09-02T00:00:00Z,10001,Georgi     ,M,1986-06-26T00:00:00Z,2,2,2,2,Facello     ,57305,2.03,2.03,2.03,2.03,true ,268728049,[Senior Python Developer,Accountant]
1964-06-02T00:00:00Z,10002,Bezalel    ,F,1985-11-21T00:00:00Z,5,5,5,5,Simmel      ,56371,2.08,2.08,2.08,2.08,true ,328922887,[Senior Team Lead]
1959-12-03T00:00:00Z,10003,Parto      ,M,1986-08-28T00:00:00Z,4,4,4,4,Bamford     ,61805,1.83,1.83,1.83,1.83,false,200296405,[]
1954-05-01T00:00:00Z,10004,Chirstian  ,M,1986-12-01T00:00:00Z,5,5,5,5,Koblick     ,36174,1.78,1.78,1.78,1.78,true ,311267831,[Reporting Analyst,Tech Lead,Head Human Resources,Support Engineer]
1955-01-21T00:00:00Z,10005,Kyoichi    ,M,1989-09-12T00:00:00Z,1,1,1,1,Maliniak    ,63528,2.05,2.05,2.05,2.05,true ,244294991,[]
1953-04-20T00:00:00Z,10006,Anneke     ,F,1989-06-02T00:00:00Z,3,3,3,3,Preusig     ,60335,1.56,1.56,1.56,1.56,false,372957040,[Tech Lead,Principal Support Engineer,Senior Team Lead]
1957-05-23T00:00:00Z,10007,Tzvetan    ,F,1989-02-10T00:00:00Z,4,4,4,4,Zielinski   ,74572,1.70,1.70,1.70,1.70,true ,393084805,[]
1958-02-19T00:00:00Z,10008,Saniya     ,M,1994-09-15T00:00:00Z,2,2,2,2,Kalloufi    ,43906,2.10,2.10,2.10,2.10,true ,283074758,[Senior Python Developer,Junior Developer,Purchase Manager,Internship]
1952-04-19T00:00:00Z,10009,Sumant     ,F,1985-02-18T00:00:00Z,1,1,1,1,Peac        ,66174,1.85,1.85,1.85,1.85,false,236805489,[Senior Python Developer,Internship]
1963-06-01T00:00:00Z,10010,Duangkaew  , ,1989-08-24T00:00:00Z,4,4,4,4,Piveteau    ,45797,1.70,1.70,1.70,1.70,false,315236372,[Architect,Reporting Analyst,Tech Lead,Purchase Manager]
1953-11-07T00:00:00Z,10011,Mary       , ,1990-01-22T00:00:00Z,5,5,5,5,Sluis       ,31120,1.50,1.50,1.50,1.50,true ,239615525,[Architect,Reporting Analyst,Tech Lead,Senior Team Lead]
1960-10-04T00:00:00Z,10012,Patricio   , ,1992-12-18T00:00:00Z,5,5,5,5,Bridgland   ,48942,1.97,1.97,1.97,1.97,false,365510850,[Head Human Resources,Accountant]
1963-06-07T00:00:00Z,10013,Eberhardt  , ,1985-10-20T00:00:00Z,1,1,1,1,Terkki      ,48735,1.94,1.94,1.94,1.94,true ,253864340,[Reporting Analyst]
1956-02-12T00:00:00Z,10014,Berni      , ,1987-03-11T00:00:00Z,5,5,5,5,Genin       ,37137,1.99,1.99,1.99,1.99,false,225049139,[Reporting Analyst,Data Scientist,Head Human Resources]
1959-08-19T00:00:00Z,10015,Guoxiang   , ,1987-07-02T00:00:00Z,5,5,5,5,Nooteboom   ,25324,1.66,1.66,1.66,1.66,true ,390266432,[Principal Support Engineer,Junior Developer,Head Human Resources,Support Engineer]
1961-05-02T00:00:00Z,10016,Kazuhito   , ,1995-01-27T00:00:00Z,2,2,2,2,Cappelletti ,61358,1.54,1.54,1.54,1.54,false,253029411,[Reporting Analyst,Python Developer,Accountant,Purchase Manager]
1958-07-06T00:00:00Z,10017,Cristinel  , ,1993-08-03T00:00:00Z,2,2,2,2,Bouloucos   ,58715,1.74,1.74,1.74,1.74,false,236703986,[Data Scientist,Head Human Resources,Purchase Manager]
1954-06-19T00:00:00Z,10018,Kazuhide   , ,1987-04-03T00:00:00Z,2,2,2,2,Peha        ,56760,1.97,1.97,1.97,1.97,false,309604079,[Junior Developer]
1953-01-23T00:00:00Z,10019,Lillian    , ,1999-04-30T00:00:00Z,1,1,1,1,Haddadi     ,73717,2.06,2.06,2.06,2.06,false,342855721,[Purchase Manager]
1952-12-24T00:00:00Z,10020,Mayuko     ,M,1991-01-26T00:00:00Z, , , , ,Warwick     ,40031,1.41,1.41,1.41,1.41,false,373309605,[Tech Lead]
1960-02-20T00:00:00Z,10021,Ramzi      ,M,1988-02-10T00:00:00Z, , , , ,Erde        ,60408,1.47,1.47,1.47,1.47,false,287654610,[Support Engineer]
1952-07-08T00:00:00Z,10022,Shahaf     ,M,1995-08-22T00:00:00Z, , , , ,Famili      ,48233,1.82,1.82,1.82,1.82,false,233521306,[Reporting Analyst,Data Scientist,Python Developer,Internship]
1953-09-29T00:00:00Z,10023,Bojan      ,F,1989-12-17T00:00:00Z, , , , ,Montemayor  ,47896,1.75,1.75,1.75,1.75,true ,330870342,[Accountant,Support Engineer,Purchase Manager]
1958-09-05T00:00:00Z,10024,Suzette    ,F,1997-05-19T00:00:00Z, , , , ,Pettey      ,64675,2.08,2.08,2.08,2.08,true ,367717671,[Junior Developer]
1958-10-31T00:00:00Z,10025,Prasadram  ,M,1987-08-17T00:00:00Z, , , , ,Heyers      ,47411,1.87,1.87,1.87,1.87,false,371270797,[Accountant]
1953-04-03T00:00:00Z,10026,Yongqiao   ,M,1995-03-20T00:00:00Z, , , , ,Berztiss    ,28336,2.10,2.10,2.10,2.10,true ,359208133,[Reporting Analyst]
1962-07-10T00:00:00Z,10027,Divier     ,F,1989-07-07T00:00:00Z, , , , ,Reistad     ,73851,1.53,1.53,1.53,1.53,false,374037782,[Senior Python Developer]
1963-11-26T00:00:00Z,10028,Domenick   ,M,1991-10-22T00:00:00Z, , , , ,Tempesti    ,39356,2.07,2.07,2.07,2.07,true ,226435054,[Tech Lead,Python Developer,Accountant,Internship]
1956-12-13T00:00:00Z,10029,Otmar      ,M,1985-11-20T00:00:00Z, , , , ,Herbst      ,74999,1.99,1.99,1.99,1.99,false,257694181,[Senior Python Developer,Data Scientist,Principal Support Engineer]
1958-07-14T00:00:00Z,10030,           ,M,1994-02-17T00:00:00Z,3,3,3,3,Demeyer     ,67492,1.92,1.92,1.92,1.92,false,394597613,[Tech Lead,Data Scientist,Senior Team Lead]
1959-01-27T00:00:00Z,10031,           ,M,1991-09-01T00:00:00Z,4,4,4,4,Joslin      ,37716,1.68,1.68,1.68,1.68,false,348545109,[Architect,Senior Python Developer,Purchase Manager,Senior Team Lead]
1960-08-09T00:00:00Z,10032,           ,F,1990-06-20T00:00:00Z,3,3,3,3,Reistad     ,62233,2.10,2.10,2.10,2.10,false,277622619,[Architect,Senior Python Developer,Junior Developer,Purchase Manager]
1956-11-14T00:00:00Z,10033,           ,M,1987-03-18T00:00:00Z,1,1,1,1,Merlo       ,70011,1.63,1.63,1.63,1.63,false,208374744,[]
